ticker,name,sector
BBCA,Bank Central Asia,Keuangan
BBRI,Bank Rakyat Indonesia,Keuangan
BMRI,Bank Mandiri,Keuangan
BBNI,Bank Negara Indonesia,Keuangan
BRIS,Bank Syariah Indonesia,Keuangan
BBTN,Bank Tabungan Negara,Keuangan
BNGA,Bank CIMB Niaga,Keuangan
BDMN,Bank Danamon,Keuangan
PNBN,Bank Pan Indonesia,Keuangan
NISP,Bank OCBC NISP,Keuangan
MEGA,Bank Mega,Keuangan
BTPS,BTPN Syariah,Keuangan
ARTO,Bank Jago,Keuangan
BBHI,Allo Bank Indonesia,Keuangan
BANK,Bank Aladin Syariah,Keuangan
BJBR,Bank Jabar Banten,Keuangan
BJTM,Bank Jatim,Keuangan
BBYB,Bank Neo Commerce,Keuangan
AGRO,Bank Raya Indonesia,Keuangan
BNII,Bank Maybank Indonesia,Keuangan
BFIN,BFI Finance Indonesia,Keuangan
ADMF,Adira Dinamika Multi Finance,Keuangan
CFIN,Clipan Finance Indonesia,Keuangan
PNLF,Panin Financial,Keuangan
PNIN,Paninvest,Keuangan
SRTG,Saratoga Investama Sedaya,Keuangan
BPFI,Batavia Prosperindo Finance,Keuangan
TLKM,Telkom Indonesia,Infrastruktur
EXCL,XL Axiata,Infrastruktur
ISAT,Indosat Ooredoo Hutchison,Infrastruktur
TOWR,Sarana Menara Nusantara,Infrastruktur
TBIG,Tower Bersama Infrastructure,Infrastruktur
MTEL,Dayamitra Telekomunikasi,Infrastruktur
JSMR,Jasa Marga,Infrastruktur
PGAS,Perusahaan Gas Negara,Energi
PGEO,Pertamina Geothermal Energy,Energi
POWR,Cikarang Listrindo,Infrastruktur
GOTO,GoTo Gojek Tokopedia,Teknologi
BUKA,Bukalapak,Teknologi
EMTK,Elang Mahkota Teknologi,Teknologi
DMMX,Digital Mediatama Maxima,Teknologi
WIFI,Solusi Sinergi Digital,Teknologi
MLPT,Multipolar Technology,Teknologi
MCAS,M Cash Integrasi,Teknologi
MNCN,Media Nusantara Citra,Konsumen Non-Primer
SCMA,Surya Citra Media,Konsumen Non-Primer
ASII,Astra International,Konsumen Non-Primer
UNTR,United Tractors,Perindustrian
HEXA,Hexindo Adiperkasa,Perindustrian
AUTO,Astra Otoparts,Konsumen Non-Primer
GJTL,Gajah Tunggal,Konsumen Non-Primer
IMAS,Indomobil Sukses Internasional,Konsumen Non-Primer
SMSM,Selamat Sempurna,Konsumen Non-Primer
DRMA,Dharma Polimetal,Konsumen Non-Primer
UNVR,Unilever Indonesia,Konsumen Primer
ICBP,Indofood CBP Sukses Makmur,Konsumen Primer
INDF,Indofood Sukses Makmur,Konsumen Primer
MYOR,Mayora Indah,Konsumen Primer
KLBF,Kalbe Farma,Kesehatan
SIDO,Industri Jamu Sido Muncul,Kesehatan
HMSP,HM Sampoerna,Konsumen Primer
GGRM,Gudang Garam,Konsumen Primer
WIIM,Wismilak Inti Makmur,Konsumen Primer
CPIN,Charoen Pokphand Indonesia,Konsumen Primer
JPFA,Japfa Comfeed Indonesia,Konsumen Primer
MAIN,Malindo Feedmill,Konsumen Primer
ROTI,Nippon Indosari Corpindo,Konsumen Primer
ULTJ,Ultrajaya Milk Industry,Konsumen Primer
CLEO,Sariguna Primatirta,Konsumen Primer
GOOD,Garudafood Putra Putri Jaya,Konsumen Primer
KEJU,Mulia Boga Raya,Konsumen Primer
CMRY,Cisarua Mountain Dairy,Konsumen Primer
AMRT,Sumber Alfaria Trijaya,Konsumen Primer
MIDI,Midi Utama Indonesia,Konsumen Primer
MAPI,Mitra Adiperkasa,Konsumen Non-Primer
MAPA,Map Aktif Adiperkasa,Konsumen Non-Primer
ACES,Aspirasi Hidup Indonesia,Konsumen Non-Primer
LPPF,Matahari Department Store,Konsumen Non-Primer
ERAA,Erajaya Swasembada,Konsumen Non-Primer
RALS,Ramayana Lestari Sentosa,Konsumen Non-Primer
PZZA,Sarimelati Kencana,Konsumen Non-Primer
FAST,Fast Food Indonesia,Konsumen Non-Primer
MIKA,Mitra Keluarga Karyasehat,Kesehatan
SILO,Siloam International Hospitals,Kesehatan
HEAL,Medikaloka Hermina,Kesehatan
PRDA,Prodia Widyahusada,Kesehatan
KAEF,Kimia Farma,Kesehatan
INAF,Indofarma,Kesehatan
PEHA,Phapros,Kesehatan
