ticker,name,sector
AADI,Adaro Andalan Indonesia,Energi
AALI,Astra Agro Lestari,Konsumen Primer
ABDA,Asuransi Bina Dana Arta,Keuangan
ABMM,ABM Investama,Energi
ACES,Aspirasi Hidup Indonesia,Konsumen Non-Primer
ACRO,Samcro Hyosung Adilestari,Konsumen Non-Primer
ACST,Acset Indonusa,Perindustrian
ADES,Akasha Wira International,Konsumen Primer
ADHI,Adhi Karya,Infrastruktur
ADMF,Adira Dinamika Multi Finance,Keuangan
ADMG,PT. Polychem Indonesia,Barang Baku
ADMR,Adaro Minerals Indonesia,Energi
ADRO,Alamtri Resources Indonesia,Energi
AEGS,PT. Anugerah Spareparts Sejahtera,Konsumen Non-Primer
AGAR,Asia Sejahtera Mina,Konsumen Primer
AGII,Samator Indo Gas,Barang Baku
AGRO,Bank Raya Indonesia,Keuangan
AGRS,Bank IBK Indonesia,Keuangan
AHAP,Asuransi Harta Aman Pratama,Keuangan
AIMS,Artha Mahiya Investama,Energi
AISA,FKS Food Sejahtera,Konsumen Primer
AKPI,Argha Karya Prima Industry,Konsumen Non-Primer
AKRA,AKR Corporindo,Energi
AKSI,Mineral Sumberdaya Mandiri,Perindustrian
ALDO,Alkindo Naratama,Barang Baku
ALII,Ancara Logistics Indonesia,Perindustrian
ALKA,Alakasa Industrindo,Barang Baku
AMAG,Asuransi Multi Artha Guna,Keuangan
AMAN,Makmur Berkah Amanda,Properti
AMAR,Bank Amar Indonesia,Keuangan
AMFG,Asahimas Flat Glass,Barang Baku
AMIN,Ateliers Mecaniques D'Indonesie,Perindustrian
AMMN,Amman Mineral Internasional,Barang Baku
AMMS,Agung Menjangan Mas,Konsumen Primer
AMOR,Ashmore Asset Management Indonesia,Keuangan
AMRT,Sumber Alfaria Trijaya,Konsumen Primer
ANDI,"Andira Agro,",Konsumen Primer
ANJT,Austindo Nusantara Jaya,Konsumen Primer
ANTM,Aneka Tambang,Barang Baku
APEX,Apexindo Pratama Duta,Energi
APIC,Pacific Strategic Financial,Keuangan
APII,Arita Prima Indonesia,Perindustrian
APLI,Asiaplast Industries,Konsumen Non-Primer
APLN,Agung Podomoro Land,Properti
ARCI,Archi Indonesia,Barang Baku
AREA,Dunia Virtual Online,Teknologi
ARGO,Argo Pantes,Konsumen Non-Primer
ARII,Atlas Resources,Energi
ARKO,Arkora Hydro,Infrastruktur
ARNA,Arwana Citramulia,Barang Baku
ARTA,Arthavest,Konsumen Non-Primer
ARTO,Bank Jago,Keuangan
ASBI,Asuransi Bintang,Keuangan
ASDM,Asuransi Dayin Mitra,Keuangan
ASGR,Astra Graphia,Perindustrian
ASHA,Cilacap Samudera Fishing Industry,Konsumen Primer
ASII,Astra International,Konsumen Non-Primer
ASJT,Asuransi Jasa Tania,Keuangan
ASLC,Autopedia Sukses Lestari,Konsumen Non-Primer
ASLI,Asri Karya Lestari,Perindustrian
ASMI,Asuransi Maximus Graha Persada,Keuangan
ASPI,Andalan Sakti Primaindo,Konsumen Non-Primer
ASPR,Asia Pramulia,Konsumen Non-Primer
ASRI,Alam Sutera Realty,Properti
ASRM,Asuransi Ramayana,Keuangan
ASSA,Adi Sarana Armada,Transportasi & Logistik
